year,value
2010,147709.18121378447
2011,392608.44488131173
2012,967272.9209579322
2013,1786319.1783459857
2014,3103425.600578068
2015,5739547.88471117
2016,8897599.700433621
2017,13573050.278534932
2018,20776150.79399479
2019,27333778.061382376
2020,103645969.88497977
2021,173810663.1207777
2022,268957568.38026905
2023,392707702.2915089
2025,452650127.2429802
2030,1296224698.1377995
2035,2637278600.337
