year,value
2010,99178.0
2011,228130.0
2012,552399.0
2013,1095915.0
2014,1957261.2000000477
2015,3618497.0
2016,5871495.0
2017,9110375.0
2018,14181777.0
2019,19609637.0
2020,73835677.80000019
2021,116975541.0
2022,182672318.0
2023,275050605.9000001
2025,332094472.5
2030,1038131937.0
2035,2242941060.0
